NUTS_ID,YEAR,spi01_min,spi03_min,spi06_min,spi12_min,lfi_min,tmax_min,fapar_min,sma_min,spi01_mean,spi03_mean,spi06_mean,spi12_mean,lfi_mean,tmax_mean,fapar_mean,sma_mean,spi01_median,spi03_median,spi06_median,spi12_median,lfi_median,tmax_median,fapar_median,sma_median,spi01_max,spi03_max,spi06_max,spi12_max,lfi_max,tmax_max,fapar_max,sma_max,drg_agr_w,drg_agr_s,drg_man_w,drg_man_s,drg_agr_w_01,drg_agr_w_02,drg_agr_w_03,drg_agr_w_04,drg_agr_w_05,drg_agr_w_06,drg_agr_w_07,drg_agr_w_08,drg_agr_w_09,drg_agr_w_10,drg_agr_w_11,drg_agr_w_12,drg_agr_s_01,drg_agr_s_02,drg_agr_s_03,drg_agr_s_04,drg_agr_s_05,drg_agr_s_06,drg_agr_s_07,drg_agr_s_08,drg_agr_s_09,drg_agr_s_10,drg_agr_s_11,drg_agr_s_12,drg_man_w_01,drg_man_w_02,drg_man_w_03,drg_man_w_04,drg_man_w_05,drg_man_w_06,drg_man_w_07,drg_man_w_08,drg_man_w_09,drg_man_w_10,drg_man_w_11,drg_man_w_12,drg_man_s_01,drg_man_s_02,drg_man_s_03,drg_man_s_04,drg_man_s_05,drg_man_s_06,drg_man_s_07,drg_man_s_08,drg_man_s_09,drg_man_s_10,drg_man_s_11,drg_man_s_12,spi12_yearly,hw_month_01,hw_month_02,hw_month_03,hw_month_04,hw_month_05,hw_month_06,hw_month_07,hw_month_08,hw_month_09,hw_month_10,hw_month_11,hw_month_12,yearly_hw,avg_hw_intensity,avg_len_hw,area,gdp,gross_value_added_A,gross_value_added_C,employment_A,employment_C,population,gva_A_lagged,gva_C_lagged,employment_A_lagged,employment_C_lagged,gva_employ_lagged_A,gva_employ_lagged_C,gdp_lagged,growth_rate,gva_employ_A,gva_employ_C
AT111,2001,-1.92,-1.67,-1.45,-1.4,,-2.107,,-2.905,-0.3622499999999999,-0.5189583333333333,-0.6514166666666666,-1.0815,,13.710833333333332,,-1.2835833333333333,-0.384,-0.396,-0.7905,-1.11425,,15.3975,,-1.5145,1.316,0.632,0.5515,-0.589,,25.825,,-0.125,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0758874,1.0,,,,,,,,,,,,,,,,,
AT111,2002,-2.47,-1.66,-2.005,-1.98,,0.998,,-3.424,0.0294583333333333,-0.0825416666666666,-0.3326666666666666,-0.9847916666666668,,14.16375,,-1.7836666666666667,0.172,-0.20675,-0.645,-1.3,,12.023,,-2.054,1.5995,1.4325,1.138,0.3155,,26.075,,0.199,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.605,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.908418458333333,1.2,,627.48,37.0,92.0,1.6,2.2,37.73,,,,,,,,,,
AT111,2003,-1.675,-2.35,-2.17,-2.275,,0.208,,-1.161,-0.5450416666666666,-0.9879583333333334,-1.063125,-0.7036666666666666,,14.362666666666668,,-0.0460833333333333,-0.59875,-1.2075,-1.5225,-0.2425,,11.847,,0.0185,0.6405,0.686,1.6705,0.6805,,28.46,,1.042,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6805,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.58432465,1.3333333333333333,,674.62,55.0,95.0,1.6,2.2,37.65,37.0,92.0,1.6,2.2,23.125,41.81818181818181,627.48,0.0751259004271052,34.375,43.18181818181818
AT111,2004,-1.72,-1.725,-2.515,-2.275,,0.575,,0.149,0.0014166666666666,-0.0562916666666666,-0.0215416666666666,-0.521125,,13.2335,,0.9459166666666666,-0.0394999999999999,0.23975,0.2,-0.194,,14.758500000000002,,0.996,1.592,1.4985,1.615,0.3535,,23.146,,1.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.8660527,1.5,,676.25,45.0,92.0,1.5,2.3,37.58,55.0,95.0,1.6,2.2,34.375,43.18181818181818,674.62,0.0024161750318697,28.125,41.81818181818181
AT111,2005,-1.014,-1.225,-2.295,-1.945,,0.166,,-0.242,0.2270416666666666,0.0428333333333333,-0.1371249999999999,-0.42075,,12.4955,,0.8103333333333333,0.20625,-0.0339999999999999,0.07975,-0.3015,,13.956,,0.768,1.446,1.3905,1.2395,0.6435,,24.013,,1.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5295215,1.0,,669.25,34.0,110.0,1.4,2.2,37.45,45.0,92.0,1.5,2.3,30.0,40.0,676.25,-0.010351201478743,22.666666666666668,47.82608695652174
AT111,2006,-1.57,-2.745,-1.745,-0.3795,,-2.592,,-1.342,-0.1347916666666666,-0.0755416666666666,0.16425,0.664625,,13.789333333333332,,0.1929166666666666,0.0122499999999999,0.35375,0.402,0.709,,15.8305,,0.594,1.6185,1.276,1.2195,1.632,,26.908,,1.08,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.6704054,2.0,,714.72,37.0,111.0,1.3,2.3,37.45,34.0,110.0,1.4,2.2,24.28571428571429,49.99999999999999,669.25,0.0679417258124766,26.42857142857143,50.45454545454545
AT111,2007,-3.025,-1.49,-2.16,-1.77,,3.537,,-1.277,0.0906666666666666,0.1299166666666666,-0.3910416666666667,-0.474375,,14.7345,,-0.0783333333333333,0.41925,0.1897499999999999,-0.3645,-0.3732499999999999,,14.2655,,-0.3275,1.7065,1.517,0.4,0.36,,25.546,,1.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2965,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.421826155555556,2.25,,739.04,47.0,112.0,1.3,2.3,37.45,37.0,111.0,1.3,2.3,28.46153846153846,48.2608695652174,714.72,0.0340273113946719,36.15384615384615,48.69565217391305
AT111,2008,-1.43,-1.14,-0.973,-0.8225,,3.62,,-0.09,0.006625,-0.1210833333333333,0.3462499999999999,0.1428333333333333,,14.335,,0.557,-0.04975,-0.5005,0.6214999999999999,0.08275,,14.325,,0.509,1.553,1.6155,1.011,1.2195,,24.46,,1.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.6027686,1.3333333333333333,,722.05,33.0,109.0,1.2,2.5,37.46,47.0,112.0,1.3,2.3,36.15384615384615,48.69565217391305,739.04,-0.0229892833946741,25.384615384615383,47.39130434782609
AT111,2009,-1.07,-0.6845,0.1275,0.5415,,1.075,,-0.934,0.4606666666666667,0.712125,0.8744166666666667,1.2199583333333333,,14.09575,,0.03775,0.4725,0.875,1.018,1.27725,,15.9585,,0.0559999999999999,1.985,1.9455,1.549,1.5475,,25.142,,0.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.20319535,1.0,,736.18,31.0,115.0,1.1,2.3,37.5,33.0,109.0,1.2,2.5,27.5,43.6,722.05,0.0195692819056851,25.833333333333336,46.0
AT111,2010,-0.6825,-0.474,-0.2585,0.477,,-0.652,,-0.576,0.4556666666666666,0.7442083333333334,0.8387916666666667,1.123875,,12.6405,,0.34225,0.45175,0.89425,0.929,1.094,,12.8965,,0.2319999999999999,1.553,1.6125,1.7615,1.687,,25.152,,1.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.715061,2.0,,738.53,33.0,116.0,1.1,2.2,37.5,31.0,115.0,1.1,2.3,28.18181818181818,50.00000000000001,736.18,0.003192154092749,30.0,50.434782608695656
