quarter,pdvmil,pdvmily,wara_later,wara,pgdp,rgdp,rcons,rcdur,rcnd,rcsv,rcndsv,rinv,rinvfx,rnri,rres,rgov,rfed,rdef,rsl,kcdur,tothours,milithours,totpop,fr25_64pop16,fr25_64pop,tothoursces,nwmfg,pman,cpi,ppi,pbus,nwbus,BAA,tb3,romerexog,amtss,amtbr,spf_rfedlag,spf_rfed0,spf_rfed1,spf_rfed2,spf_rfed3,spf_rfed4,spf_rsllag,spf_rsl0,spf_rsl1,spf_rsl2,spf_rsl3,spf_rsl4,spf_ndeflag,spf_ndef0,spf_ndef1,spf_ndef2,spf_ndef3,spf_ndef4,spf_pgdplag,spf_pgdp0,spf_pgdp1,spf_pgdp2,spf_pgdp3,spf_pgdp4
1939,0.5,0.006,.,.,10.87490585,8.27097,8.903867,2.674537,16.17316,7.952937,.,3.871648,4.04713,3.085607,8.381926,10.29587,9.269643,3.034027,.,3.436602,107.8455059,0.627877062,130763.25,0.684249997,0.497500002,.,0.49000001,13.46014404,13.9333334,13.26666641,.,.,5.019999981,0.029999999,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1939.25,0,0.000,.,.,10.77654748,8.37198,9.233281,2.842816,16.82255,8.047124,.,3.343956,4.166428,3.264018,8.168047,10.25256,9.446696,3.329588,.,3.461079,108.0468908,0.635226793,131028,0.684000015,0.497999996,.,0.49000001,13.41535282,13.80000019,13.0666666,.,.,5.04333353,0.029999999,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1939.5,0.7,0.008,.,.,10.85149955,8.635213,9.300076,3.00219,16.52958,8.110264,.,4.443005,4.327064,3.506525,7.865519,9.793538,8.430821,3.59898,.,3.490228,108.5723749,0.731298283,131301.5,0.683750033,0.49849999,.,0.486666679,13.448946,13.90000057,13.16666698,.,.,4.896666527,0.076666668,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1939.75,0,0.000,.,.,10.9391186,8.677839,9.350774,3.048456,17.01471,8.173676,.,4.221391,4.531379,3.74785,7.836507,9.926039,9.160838,3.813405,.,3.525,110.0269909,0.827369774,131575,0.683500051,0.499000013,.,0.50999999,13.77369213,14,13.66666698,.,.,4.883333206,0.046666667,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940,0,0.000,.,.,10.91148507,9.002978,9.486541,3.148987,17.08938,8.268688,.,5.064228,4.716776,3.885899,8.258941,10.0551,9.683177,4.399279,.,3.568177,111.648906,0.923441264,131848.5,0.68325001,0.499500006,.,0.519999981,13.67290878,13.96666622,13.60000038,.,.,4.829999924,0.016666666,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940.25,31.6,0.322,.,.,10.96792181,9.056465,9.64829,3.294787,17.33448,8.390668,.,5.049788,4.970328,4.015147,9.183468,9.884892,9.080085,4.67625,.,3.616542,111.5890421,1.019512754,132122,0.683000028,0.5,.,0.519999981,13.60572052,14.03333378,13.46666622,.,.,4.929999828,0.059999999,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940.5,0,0.000,.,.,10.97949863,9.331182,9.715816,3.364036,17.3607,8.378447,.,6.142463,5.314031,4.364031,9.428938,9.942092,9.194157,4.912116,.,3.664475,114.5940014,1.604078898,132442,0.68325001,0.500750005,.,0.526666641,13.62811661,14,13.39999962,.,.,4.740000248,0.046666667,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940.75,4.9,0.048,.,.,11.0656809,9.541374,9.841354,3.432189,17.60344,8.490198,.,5.863523,5.506865,4.574923,9.500655,11.51792,12.69458,10.10435,.,3.707,115.9211219,2.188645042,132762,0.683500051,0.50150001,.,0.543333352,13.85767841,14.03333378,13.69999981,.,.,4.496666431,0.02,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1941,7,0.066,.,.,11.22281415,10.08199,10.17337,3.796737,18.29905,8.62787,.,6.210526,5.767212,4.943536,9.144988,13.61487,18.27872,19.17254,.,3.741453,118.7265068,2.773211186,133082,0.683750033,0.502250016,.,0.556666672,14.06484318,14.13333321,13.9333334,.,.,4.393333435,0.056666665,.,0.089000002,0.126000002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1941.25,44.3,0.392,.,.,11.53557437,10.70785,10.46932,4.235274,18.27867,8.837781,.,7.384795,6.197662,5.308119,9.900734,15.11975,21.83285,25.98996,.,3.769077,123.2449024,3.35777733,133402,0.684000015,0.503000021,.,0.596666694,14.62474918,14.46666622,14.66666698,.,.,4.320000172,0.109999999,.,0.089000002,0.126000002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
